Komentar_Asli,Komentar_Labeling,Komentar_Bersih
"samsung A52s ini mau ganti, tapi ga tau ganti apa yang di atas ini dan harga seharga A52S baru😭😭","samsung A52s ini mau ganti, tapi ga tau ganti apa yang di atas ini dan harga seharga A52S baru😭😭",samsung a52s mau ganti tidak tau ganti apa atas harga harga a52s baru
Bang coba riview Oppo Reno 15 5g dong please🙏🥺,Bang coba riview Oppo Reno 15 5g dong please🙏🥺,coba riview oppo reno 15 5g dong please
Bang Coba Fitur NFC yg katanya bisa Tarik Tunai Tanpa Kartu(3TK) di alfa/indo mart,Bang Coba Fitur NFC yg katanya bisa Tarik Tunai Tanpa Kartu(3TK) di alfa/indo mart,coba fitur nfc kata tarik tunai tanpa kartu 3tk alfa indo mart
Samsung bagi kaum yg ingin hp tapi gk ribet plus update lama 😅,Samsung bagi kaum yg ingin hp tapi gk ribet plus update lama 😅,samsung bagi kaum ingin handphone tidak ribet plus update lama
Kenapa belum review tecno camon 50 pro?,Kenapa belum review tecno camon 50 pro?,kenapa belum review tecno camon 50 pro
Sejauh ini smartphone yang enak dipake emang samsung sama iphone,Sejauh ini smartphone yang enak dipake emang samsung sama iphone,jauh smartphone enak dipake emang samsung sama iphone
9:59 Samsung: apa? Upgrade software 4k 30 ke 4k 60? Beli lagi lah kalau mau 4k 60 di a58 tau depan,9:59 Samsung: apa? Upgrade software 4k 30 ke 4k 60? Beli lagi lah kalau mau 4k 60 di a58 tau depan,59 samsung apa upgrade software 4k 30 4k 60 beli lagi lah mau 4k 60 a58 tau depan
3:34 bagi wallpaper nya bang 😅,3:34 bagi wallpaper nya bang 😅,34 bagi wallpaper
Kapan review hp seri tecno camon min?,Kapan review hp seri tecno camon min?,kapan review handphone seri tecno camon min
"keliatan sedikit lagi tadi harganya pas infoin kameranya di websitenya, wow banget sihh mid range nya","keliatan sedikit lagi tadi harganya pas infoin kameranya di websitenya, wow banget sihh mid range nya",liat sedikit lagi tadi harga pas infoin kamera websitenya wow banget sihh mid range
Kalau ada edge lebih keren lagi,Kalau ada edge lebih keren lagi,edge lebih bagus lagi
Smpai saat ini ak kok masih pakai nenek moyangnya aja A52 😂😂😂😂😂.......,Smpai saat ini ak kok masih pakai nenek moyangnya aja A52 😂😂😂😂😂.......,smpai saat ak kok masih pakai nenek moyang a52
"Saya mantan pengguna samsung a54, ketebalan dan panas nya bikin gak nyaman di pegang lama.  Buget 6 jutaan ambil ip 13 basic saja yg second. Jauh lebih wortit","Saya mantan pengguna samsung a54, ketebalan dan panas nya bikin gak nyaman di pegang lama. Buget 6 jutaan ambil ip 13 basic saja yg second. Jauh lebih wortit",mantan guna samsung a54 tebal panas bikin tidak nyaman pegang lama buget juta ambil ip 13 basic second jauh lebih wortit
mesin panas ngak bg,mesin panas ngak bg,mesin panas ngak bg
"Kmarin waktu A56 keluar,ada yg bilang mending tunggu A57,sekarang A57 keluar mungkin mending nunggu A58 sekalian,gitu aja trs menerus 😅","Kmarin waktu A56 keluar,ada yg bilang mending tunggu A57,sekarang A57 keluar mungkin mending nunggu A58 sekalian,gitu aja trs menerus 😅",kmarin waktu a56 keluar bilang mending tunggu a57 sekarang a57 keluar mungkin mending nunggu a58 sekali gitu trs terus
"Yah tunggu A60 ajalah. Masih sama sama aja dengan A56, lebih maksain keluarin series baru aja rupanya 😆","Yah tunggu A60 ajalah. Masih sama sama aja dengan A56, lebih maksain keluarin series baru aja rupanya 😆",yah tunggu a60 aja masih sama sama a56 lebih maksain keluarin series baru rupa
BISMILLAH HP TERBAIKKK❤❤❤❤,BISMILLAH HP TERBAIKKK❤❤❤❤,bismillah handphone terbaikkk
Gak tau kenapa semenjak not3 saya langsung mati total. gara2 jatuh duluan layarnya. Dari itu saya trauma beli si SAMSUL ini,Gak tau kenapa semenjak not3 saya langsung mati total. gara2 jatuh duluan layarnya. Dari itu saya trauma beli si SAMSUL ini,tidak tau kenapa semenjak not3 langsung mati total gara2 jatuh duluan layar trauma beli si samsul
Kak david infinix smart 20 bagus kah?,Kak david infinix smart 20 bagus kah?,kak david infinix smart 20 bagus kah
Kemampuan ane cukup a15 4g❤,Kemampuan ane cukup a15 4g❤,mampu ane cukup a15 4g
andaikan compact sizenya saya bakal gas,andaikan compact sizenya saya bakal gas,andai compact sizenya bakal gas
"Coba bahas masalah jaringan Bang, bandingin hp versi US dan versi Indonesia.
Aku cari cari yang bahas versi US mmWave dan versi standard di channel Indonesia kok belum nemu.","Coba bahas masalah jaringan Bang, bandingin hp versi US dan versi Indonesia. Aku cari cari yang bahas versi US mmWave dan versi standard di channel Indonesia kok belum nemu.",coba bahas masalah jaring bandingin handphone versi us versi indonesia aku cari cari bahas versi us mmwave versi standard channel indonesia kok belum nemu
user A52s yg menonton review ini : 🤔,user A52s yg menonton review ini : 🤔,user a52s tonton review
Sisamsul kenapa jir 😹,Sisamsul kenapa jir 😹,sisamsul kenapa jir
Masih pake A51 😊,Masih pake A51 😊,masih pake a51
Bang nama wallpaper bunganya apa,Bang nama wallpaper bunganya apa,nama wallpaper bunga apa
"Tetap lebih keren yg a55, a54, a35, krna di bagian kameranya tdk ada bingkai, sukanya sma smsung krna letak kameranya bergilir, berbaris dn ukurannya biasa aja, gak kyk android lainnya yg besar kayak mata dajjal 😂😂😂","Tetap lebih keren yg a55, a54, a35, krna di bagian kameranya tdk ada bingkai, sukanya sma smsung krna letak kameranya bergilir, berbaris dn ukurannya biasa aja, gak kyk android lainnya yg besar kayak mata dajjal 😂😂😂",tetap lebih bagus a55 a54 a35 krna bagi kamera tdk bingkai suka sma smsung krna letak kamera gilir bar dn ukur biasa tidak kyk android lain besar kayak mata dajjal
Scamsung overpriced masih aja dibela LOL,Scamsung overpriced masih aja dibela LOL,scamsung overpriced masih bela lol
Channel gaje terlalu bias gak detil,Channel gaje terlalu bias gak detil,channel gaje terlalu bias tidak detil
Bahas VIVO Y31D PRO DONG,Bahas VIVO Y31D PRO DONG,bahas vivo y31d pro dong
Aku suka cip setnya dan cameranya yg cerah.,Aku suka cip setnya dan cameranya yg cerah.,aku suka cip set cameranya cerah
"Doain aku bisa beli hp ini gaes, Amin 😂","Doain aku bisa beli hp ini gaes, Amin 😂",doain aku beli handphone gaes amin
"Di 2026 ini masih pake samsung A52 4g
Minus backcover nya copot😂",Di 2026 ini masih pake samsung A52 4g Minus backcover nya copot😂,2026 masih pake samsung a52 4g minus backcover copot
Masih setia di a52s sama s23. Untuk A57 kayanya skip dulu deh.,Masih setia di a52s sama s23. Untuk A57 kayanya skip dulu deh.,masih setia a52s sama s23 a57 kaya skip dulu deh
"Nonton video ini di samsung a52, beli di 2022, samsung a5 series emang bukan buat semua orang sih, kalo menurut sya buat orang yang emang suka pake samsung dan butuh hp all-rounder aja, aftersales cukup mudah, dan bukan yg geek soal feature dan specsheet😅","Nonton video ini di samsung a52, beli di 2022, samsung a5 series emang bukan buat semua orang sih, kalo menurut sya buat orang yang emang suka pake samsung dan butuh hp all-rounder aja, aftersales cukup mudah, dan bukan yg geek soal feature dan specsheet😅",nonton video samsung a52 beli 2022 samsung a5 series emang bukan buat semua orang sih turut sya buat orang emang suka pake samsung butuh handphone all rounder aftersales cukup mudah bukan geek soal feature specsheet
"The end of samsung,, seri ini sudah tidak worth sama sekali,, wkwk","The end of samsung,, seri ini sudah tidak worth sama sekali,, wkwk",the end of samsung seri tidak worth sama sekali wkwk
huawei mate 80 pro,huawei mate 80 pro,huawei mate 80 pro
Gue yang masih setia sama samsung galaxy A51 😂,Gue yang masih setia sama samsung galaxy A51 😂,gue masih setia sama samsung galaxy a51
Nonton pakai A56 😂,Nonton pakai A56 😂,nonton pakai a56
"Udah seri 7 aja, seri 1 masih baik2 aja, sering jatuh, renang air pantai. Gokil A5 series","Udah seri 7 aja, seri 1 masih baik2 aja, sering jatuh, renang air pantai. Gokil A5 series",seri seri masih baik2 sering jatuh renang air pantai gokil a5 series
"Ada apa dengan samsung a05,a06,a07 sering gak bisa di sentuhhh padahal hp baru beli","Ada apa dengan samsung a05,a06,a07 sering gak bisa di sentuhhh padahal hp baru beli",apa samsung a05 a06 a07 sering tidak sentuhhh padahal handphone baru beli
"Samsung ""Terllu nyaman duduk dizona Aman"" .
Sedikit inovasi, cm ganti naik chipset 1 step aj setiap seri.
BOSAN SUUUNG SAMSUNG.","Samsung ""Terllu nyaman duduk dizona Aman"" . Sedikit inovasi, cm ganti naik chipset 1 step aj setiap seri. BOSAN SUUUNG SAMSUNG.",samsung terllu nyaman duduk zona aman sedikit inovasi cm ganti naik chipset step aj tiap seri bosan suuung samsung
"A57 Di kritik di anggap gak upgrade dan mahal, 
tpi tetap aja samsung top global, gmna kalau di imbangin  samsung ya wkkwkw","A57 Di kritik di anggap gak upgrade dan mahal, tpi tetap aja samsung top global, gmna kalau di imbangin samsung ya wkkwkw",a57 kritik anggap tidak upgrade mahal tpi tetap samsung top global gmna imbangin samsung wkkwkw
"mau sejelek apapun speknya, seminim apapun upgradenya dan over price banget pun, samsung akan tetap punya tempat dihati penikmat one ui yg akan tetap membeli nya.
karena yg mereka cari adalah experience dari one ui yg tidak didapatkan di brand lain","mau sejelek apapun speknya, seminim apapun upgradenya dan over price banget pun, samsung akan tetap punya tempat dihati penikmat one ui yg akan tetap membeli nya. karena yg mereka cari adalah experience dari one ui yg tidak didapatkan di brand lain",mau jelek apa speknya minim apa upgradenya over price banget pun samsung akan tetap punya tempat hati nikmat one ui akan tetap beli karena cari experience one ui tidak dapat brand lain
"🔥Halo Bang, Tolong Buatkan Review HP Android Menengah Bawah yang cocok untuk MIDI (Two Way) untuk disambungkan dengan keyboard synth, untuk produksi musik.
Makasih Bang.","🔥Halo Bang, Tolong Buatkan Review HP Android Menengah Bawah yang cocok untuk MIDI (Two Way) untuk disambungkan dengan keyboard synth, untuk produksi musik. Makasih Bang.",halo tolong buat review handphone android tengah bawah cocok midi two way sambung keyboard synth produksi musik makasih
giveaway bisa x bang buat orang yg cuma bisa nonton pake hape kentang ini 😅,giveaway bisa x bang buat orang yg cuma bisa nonton pake hape kentang ini 😅,giveaway buat orang cuma nonton pake hape kentang
Lain kali unboxing hp realme c71 bang,Lain kali unboxing hp realme c71 bang,lain kali unboxing handphone realme c71
"Upgradenya bikin turu
Harganya bikin tangi😂😂😂",Upgradenya bikin turu Harganya bikin tangi😂😂😂,upgradenya bikin turu harga bikin tang
Review Tecno camon 50 bang david,Review Tecno camon 50 bang david,review tecno camon 50 david
Infinix gt 50 pro bang,Infinix gt 50 pro bang,infinix gt 50 pro
Tekno camon 5 bg,Tekno camon 5 bg,tekno camon bg
Kok samsung skrg jadi serba nanggung ga kayak brand2 lain,Kok samsung skrg jadi serba nanggung ga kayak brand2 lain,kok samsung skrg jadi serba nanggung tidak kayak brand2 lain
Tetap Samsung paling bagus..disamping awet puluhan tahun..cryto wallet saya dari tahun 2010 masih tersimpan awet sampai sekarang,Tetap Samsung paling bagus..disamping awet puluhan tahun..cryto wallet saya dari tahun 2010 masih tersimpan awet sampai sekarang,tetap samsung paling bagus samping awet puluh tahun cryto wallet tahun 2010 masih simpan awet sampai sekarang
"Tolong semuanya semangatin gwehhhhhh, gw baru aja beli samsung inihh. Dari user iphone ke samsung lagi. Jangan pada nakut nakutin dah komennya. Soalnya ini dibeliin mau beli iphone lagi pada naek semua harganya😂😢😢😢","Tolong semuanya semangatin gwehhhhhh, gw baru aja beli samsung inihh. Dari user iphone ke samsung lagi. Jangan pada nakut nakutin dah komennya. Soalnya ini dibeliin mau beli iphone lagi pada naek semua harganya😂😢😢😢",tolong semua semangatin gwehhhhhh gw baru beli samsung inihh user iphone samsung lagi jangan pada nakut nakutin dah komennya soal dibeliin mau beli iphone lagi pada naek semua harga
masih nyaman nonton ini di samsung A51 😂,masih nyaman nonton ini di samsung A51 😂,masih nyaman nonton samsung a51
Review Red magic 11 pro plus golden saga bang,Review Red magic 11 pro plus golden saga bang,review red magic 11 pro plus golden saga
"@12:57 Setuju, dari jaman S20 FE vs A51, saya selalu pilih S2x FE drpd A5x","@12:57 Setuju, dari jaman S20 FE vs A51, saya selalu pilih S2x FE drpd A5x",12 57 tuju jaman s20 fe vs a51 selalu pilih s2x fe drpd a5x
Masih pake M20 it works bro,Masih pake M20 it works bro,masih pake m20 it works bro
"@7:22 Ada yg ketinggalan... TIDAK ada chargernya, TIDAK ada chargernya, TIDAK ada chargernya 😂","@7:22 Ada yg ketinggalan... TIDAK ada chargernya, TIDAK ada chargernya, TIDAK ada chargernya 😂",22 tinggal tidak chargernya tidak chargernya tidak chargernya
liat ni orang cuman buat pengantar tidur🗿,liat ni orang cuman buat pengantar tidur🗿,liat ni orang cuman buat antar tidur
Riview barang aneh plis,Riview barang aneh plis,riview barang aneh plis
Bikin rekomendasi Sepiker 1jt dong bg,Bikin rekomendasi Sepiker 1jt dong bg,bikin rekomendasi sepiker 1jt dong bg
Samsung a37 5g bang,Samsung a37 5g bang,samsung a37 5g
"Masih nyaman sama A52S 5G 🤣
Belum ganti² dari awal rillis sampai sekarang. Awet dan juga belum ketinggalan banget masih oke semua fitur2 nya",Masih nyaman sama A52S 5G 🤣 Belum ganti² dari awal rillis sampai sekarang. Awet dan juga belum ketinggalan banget masih oke semua fitur2 nya,masih nyaman sama a52s 5g belum ganti awal rillis sampai sekarang awet juga belum tinggal banget masih oke semua fitur2
"Mahal bro.., bedanya dikit doank ama A 56...😂😂😂","Mahal bro.., bedanya dikit doank ama A 56...😂😂😂",mahal bro beda dikit doank ama 56
Oppo reno 15 pro max 5g kapan di review bg??,Oppo reno 15 pro max 5g kapan di review bg??,oppo reno 15 pro max 5g kapan review bg
"Paling gak mau dengan hp fomo atau hp dengan bnyak yg gunain . Aku milih motorola , gk terlalu bnyak yg gunain dibanding brand2 fomo","Paling gak mau dengan hp fomo atau hp dengan bnyak yg gunain . Aku milih motorola , gk terlalu bnyak yg gunain dibanding brand2 fomo",paling tidak mau handphone fomo handphone bnyak gunain aku milih motorola tidak terlalu bnyak gunain banding brand2 fomo
"Aku nonton pake A56 12/256 hasil war launching tahun lalu setelah hijrah dari A54 8/256, Alhamdulillah untuk pindah datanya enak banget, dan Alhamdulillah sudah sangat mencover kegiatan saya yg cuma sosmedtan 😅, apalagi pake ekosistem Samsung yg lain, dijamin betah gaes, semoga awet, sampe jumpa 5 tahun kedepan lah untuk upgrade lagi.","Aku nonton pake A56 12/256 hasil war launching tahun lalu setelah hijrah dari A54 8/256, Alhamdulillah untuk pindah datanya enak banget, dan Alhamdulillah sudah sangat mencover kegiatan saya yg cuma sosmedtan 😅, apalagi pake ekosistem Samsung yg lain, dijamin betah gaes, semoga awet, sampe jumpa 5 tahun kedepan lah untuk upgrade lagi.",aku nonton pake a56 12 256 hasil war launching tahun lalu telah hijrah a54 256 alhamdulillah pindah data enak banget alhamdulillah sangat mencover giat cuma sosmedtan apalagi pake ekosistem samsung lain jamin betah gaes moga awet sampe jumpa tahun depan lah upgrade lagi
Antara samsung A57 sama iphone 14 mendingan yang mana bang? Masih bingung,Antara samsung A57 sama iphone 14 mendingan yang mana bang? Masih bingung,antara samsung a57 sama iphone 14 mending mana masih bingung
"lnfinix 50 GT bang🙏
(2026)",lnfinix 50 GT bang🙏 (2026),lnfinix 50 gt 2026
"Sy pakai Samsung A52S 5G, terus upgrade ke A55 yang masih saya pakai. Nanti rencana beli lagi kalau masih oke ganti jadi A58 atau A59, setiap 3-4 tahunan ganti A","Sy pakai Samsung A52S 5G, terus upgrade ke A55 yang masih saya pakai. Nanti rencana beli lagi kalau masih oke ganti jadi A58 atau A59, setiap 3-4 tahunan ganti A",sy pakai samsung a52s 5g terus upgrade a55 masih pakai nanti rencana beli lagi masih oke ganti jadi a58 a59 tiap tahun ganti
"Kesimpulannya,beda tipis aja sama a56,, dengan harga 7 sampai 8 juta mending beli samsung s25 fe","Kesimpulannya,beda tipis aja sama a56,, dengan harga 7 sampai 8 juta mending beli samsung s25 fe",simpul beda tipis sama a56 harga sampai juta mending beli samsung s25 fe
"dari 2021 pake samsung a02, sekarang udah 5 tahun baru ganti ke v40. biarpun v40 lebih di atas a02 tapi tetep aja menurut saya lebih nyaman pake samsung secara kualitas jangka panjang","dari 2021 pake samsung a02, sekarang udah 5 tahun baru ganti ke v40. biarpun v40 lebih di atas a02 tapi tetep aja menurut saya lebih nyaman pake samsung secara kualitas jangka panjang",2021 pake samsung a02 sekarang tahun baru ganti v40 biarpun v40 lebih atas a02 tetep turut lebih nyaman pake samsung cara kualitas jangka panjang
